Student_ID,Skill_Name,Skill_Score,Assessment_Score,Course_Completion_Percentage,Learning_Hours,Assignment_Completion_Rate,Login_Frequency,Skill_Category,Proficiency_Level
S002,Communication,92,45,67,32,83,12,Soft Skills,Advanced
S002,Problem Solving,59,69,50,96,64,7,Soft Skills,Beginner
S002,Critical Thinking,72,40,96,31,96,20,Soft Skills,Intermediate
S002,Cloud Computing,52,80,42,74,47,27,Cloud,Beginner
S002,AWS,48,76,72,55,81,12,Cloud,Beginner
S002,Azure,63,54,98,36,71,24,Cloud,Intermediate
S002,Docker,80,91,88,66,88,26,Cloud,Advanced
S002,Git,91,51,78,6,42,17,Programming,Advanced
S002,NLP,76,88,95,85,98,17,AI,Intermediate
S002,Computer Vision,41,41,67,58,62,5,AI,Beginner
S002,Data Engineering,71,72,40,23,41,21,Engineering,Intermediate
S002,Big Data,83,65,71,74,71,23,Engineering,Advanced
S002,Spark,43,94,50,60,98,17,Engineering,Beginner
S002,Leadership,77,63,44,74,61,11,Soft Skills,Intermediate
S002,Project Management,87,55,72,77,99,27,Soft Skills,Advanced
S002,Cybersecurity,45,55,68,7,59,28,Security,Beginner
S003,Python,98,75,58,94,42,19,Programming,Advanced
S003,SQL,59,71,46,56,80,1,Programming,Beginner
S003,Excel,79,78,57,5,50,28,Analytics,Intermediate
S003,Statistics,96,64,89,27,70,10,Analytics,Advanced
S003,Machine Learning,74,46,99,20,65,16,AI,Intermediate
S003,Deep Learning,96,91,99,6,40,16,AI,Advanced
S003,Data Visualization,51,44,76,36,98,23,Analytics,Beginner
S003,Power BI,48,80,74,23,87,16,Analytics,Beginner
S003,Tableau,42,59,63,58,95,1,Analytics,Beginner
S003,Communication,63,91,50,76,75,6,Soft Skills,Intermediate
S003,Problem Solving,79,59,74,93,74,25,Soft Skills,Intermediate
S003,Critical Thinking,68,57,85,86,41,22,Soft Skills,Intermediate
S003,Cloud Computing,74,55,80,37,43,1,Cloud,Intermediate
S003,AWS,53,60,87,24,95,8,Cloud,Beginner
S003,Azure,46,42,56,37,87,12,Cloud,Beginner
S003,Docker,98,90,61,26,85,6,Cloud,Advanced
S003,Git,77,84,90,58,47,27,Programming,Intermediate
S003,NLP,66,73,60,34,72,28,AI,Intermediate
S003,Computer Vision,86,72,44,65,87,19,AI,Advanced
S003,Data Engineering,43,74,88,21,83,28,Engineering,Beginner
S003,Big Data,69,68,85,10,74,28,Engineering,Intermediate
S003,Spark,80,76,63,97,88,14,Engineering,Advanced
S003,Leadership,92,70,74,64,72,20,Soft Skills,Advanced
S003,Project Management,60,71,62,37,42,18,Soft Skills,Intermediate
S003,Cybersecurity,64,81,70,58,97,3,Security,Intermediate
S004,Python,79,85,63,36,86,22,Programming,Intermediate
S004,SQL,62,41,66,6,65,17,Programming,Intermediate
S004,Excel,79,72,48,47,93,16,Analytics,Intermediate
S004,Statistics,78,68,81,30,74,18,Analytics,Intermediate
S004,Machine Learning,64,63,52,64,97,7,AI,Intermediate
S004,Deep Learning,96,75,84,24,40,8,AI,Advanced
S004,Data Visualization,85,55,53,80,90,23,Analytics,Advanced
S004,Power BI,54,67,73,70,71,23,Analytics,Beginner
S004,Tableau,61,90,64,62,61,26,Analytics,Intermediate
S004,Communication,97,61,88,56,81,6,Soft Skills,Advanced
S004,Problem Solving,54,93,82,64,76,1,Soft Skills,Beginner
S004,Critical Thinking,47,92,99,9,78,4,Soft Skills,Beginner
S004,Cloud Computing,45,84,71,98,86,3,Cloud,Beginner
S004,AWS,94,79,91,20,52,18,Cloud,Advanced
S004,Azure,99,81,69,23,56,24,Cloud,Advanced
S004,Docker,58,67,97,59,65,5,Cloud,Beginner
S004,Git,65,92,62,13,51,21,Programming,Intermediate
S004,NLP,40,97,97,5,86,2,AI,Beginner
S004,Computer Vision,71,93,87,93,79,13,AI,Intermediate
S004,Data Engineering,92,40,55,65,78,5,Engineering,Advanced
S004,Big Data,61,68,94,71,51,26,Engineering,Intermediate
S004,Spark,55,90,76,90,96,29,Engineering,Beginner
S004,Leadership,53,67,44,51,88,14,Soft Skills,Beginner
S004,Project Management,91,44,51,20,65,26,Soft Skills,Advanced
S004,Cybersecurity,87,60,78,37,69,5,Security,Advanced
S005,Python,62,97,49,73,75,2,Programming,Intermediate
S005,SQL,91,70,49,23,97,1,Programming,Advanced
S005,Excel,95,44,84,8,55,24,Analytics,Advanced
S005,Statistics,55,94,41,96,71,27,Analytics,Beginner
S005,Machine Learning,59,63,51,54,74,28,AI,Beginner
S005,Deep Learning,72,72,90,47,76,12,AI,Intermediate
S005,Data Visualization,42,40,72,44,49,11,Analytics,Beginner
S005,Power BI,83,68,52,16,70,14,Analytics,Advanced
S005,Tableau,41,90,89,39,62,17,Analytics,Beginner
S005,Communication,65,47,68,30,49,26,Soft Skills,Intermediate
S005,Problem Solving,73,90,80,11,43,26,Soft Skills,Intermediate
S005,Critical Thinking,92,89,84,79,68,24,Soft Skills,Advanced
S005,Cloud Computing,75,64,60,40,49,5,Cloud,Intermediate
S005,AWS,48,63,74,53,74,16,Cloud,Beginner
S005,Azure,75,57,88,28,62,5,Cloud,Intermediate
S005,Docker,51,88,94,17,62,25,Cloud,Beginner
S005,Git,74,80,69,21,88,20,Programming,Intermediate
S005,NLP,87,64,61,17,98,19,AI,Advanced
S005,Computer Vision,88,75,51,65,80,19,AI,Advanced
S005,Data Engineering,51,48,46,32,53,20,Engineering,Beginner
S005,Big Data,58,97,86,20,92,5,Engineering,Beginner
S005,Spark,74,51,64,56,98,21,Engineering,Intermediate
S005,Leadership,75,92,62,20,96,7,Soft Skills,Intermediate
S005,Project Management,84,92,81,62,78,14,Soft Skills,Advanced
S005,Cybersecurity,70,97,44,39,62,29,Security,Intermediate
S006,Python,82,50,57,80,48,10,Programming,Advanced
S006,SQL,97,83,56,11,85,13,Programming,Advanced
S006,Excel,79,81,48,54,66,26,Analytics,Intermediate
S006,Statistics,41,44,68,41,77,19,Analytics,Beginner
S006,Machine Learning,47,87,84,69,61,20,AI,Beginner
S006,Deep Learning,56,46,64,49,43,4,AI,Beginner
S006,Data Visualization,45,99,70,23,83,22,Analytics,Beginner
S006,Power BI,78,66,49,94,58,7,Analytics,Intermediate
S006,Tableau,42,84,52,96,97,20,Analytics,Beginner
S006,Communication,67,47,80,43,40,3,Soft Skills,Intermediate
S006,Problem Solving,52,67,96,67,99,17,Soft Skills,Beginner
S006,Critical Thinking,64,95,72,42,92,6,Soft Skills,Intermediate
S006,Cloud Computing,97,83,84,36,84,29,Cloud,Advanced
S006,AWS,86,60,55,89,50,28,Cloud,Advanced
S006,Azure,76,75,74,23,59,25,Cloud,Intermediate
S006,Docker,57,86,80,53,53,15,Cloud,Beginner
S006,Git,70,40,92,58,93,3,Programming,Intermediate
S006,NLP,55,62,96,79,51,10,AI,Beginner
S006,Computer Vision,71,55,47,80,63,28,AI,Intermediate
S006,Data Engineering,92,47,97,96,75,26,Engineering,Advanced
S006,Big Data,47,97,99,54,67,28,Engineering,Beginner
S006,Spark,76,80,75,68,66,22,Engineering,Intermediate
S006,Leadership,56,48,72,88,52,28,Soft Skills,Beginner
S006,Project Management,87,68,52,50,74,29,Soft Skills,Advanced
S006,Cybersecurity,45,57,90,73,86,25,Security,Beginner
S007,Python,41,49,95,34,89,27,Programming,Beginner
S007,SQL,84,44,94,37,93,1,Programming,Advanced
S007,Excel,57,71,86,53,50,21,Analytics,Beginner
S007,Statistics,65,64,61,63,66,17,Analytics,Intermediate
S007,Machine Learning,52,72,73,5,60,16,AI,Beginner
S007,Deep Learning,94,45,67,85,44,5,AI,Advanced
S007,Data Visualization,77,42,92,27,76,21,Analytics,Intermediate
S007,Power BI,76,49,49,87,56,21,Analytics,Intermediate
S007,Tableau,53,48,85,5,90,13,Analytics,Beginner
S007,Communication,52,43,40,36,73,28,Soft Skills,Beginner
S007,Problem Solving,70,47,78,30,97,2,Soft Skills,Intermediate
S007,Critical Thinking,93,93,42,54,51,1,Soft Skills,Advanced
S007,Cloud Computing,93,83,44,98,69,27,Cloud,Advanced
S007,AWS,96,56,87,51,62,15,Cloud,Advanced
S007,Azure,76,60,53,70,50,19,Cloud,Intermediate
S007,Docker,78,77,99,42,89,2,Cloud,Intermediate
S007,Git,57,69,54,95,90,2,Programming,Beginner
S007,NLP,91,96,77,92,54,28,AI,Advanced
S007,Computer Vision,69,94,81,55,56,5,AI,Intermediate
S007,Data Engineering,68,43,49,60,56,10,Engineering,Intermediate
S007,Big Data,56,99,59,92,44,2,Engineering,Beginner
S007,Spark,45,92,41,81,82,11,Engineering,Beginner
S007,Leadership,87,50,90,27,94,16,Soft Skills,Advanced
S007,Project Management,70,50,93,20,47,4,Soft Skills,Intermediate
S007,Cybersecurity,79,43,95,29,42,3,Security,Intermediate
S008,Python,66,68,71,54,97,19,Programming,Intermediate
S008,SQL,58,60,44,86,67,10,Programming,Beginner
S008,Excel,61,60,45,5,44,9,Analytics,Intermediate
S008,Statistics,51,65,85,38,88,14,Analytics,Beginner
S008,Machine Learning,65,84,66,77,65,25,AI,Intermediate
S008,Deep Learning,86,96,61,60,69,11,AI,Advanced
S008,Data Visualization,87,56,65,40,40,8,Analytics,Advanced
S008,Power BI,88,74,91,83,86,24,Analytics,Advanced
S008,Tableau,61,53,65,32,62,14,Analytics,Intermediate
S008,Communication,63,41,84,30,53,27,Soft Skills,Intermediate
S008,Problem Solving,95,90,46,7,86,23,Soft Skills,Advanced
S008,Critical Thinking,85,82,86,22,97,6,Soft Skills,Advanced
S008,Cloud Computing,74,90,54,68,64,23,Cloud,Intermediate
S008,AWS,76,67,49,43,96,17,Cloud,Intermediate
S008,Azure,78,61,65,48,64,17,Cloud,Intermediate
S008,Docker,52,59,64,72,49,3,Cloud,Beginner
S008,Git,80,84,57,90,73,15,Programming,Advanced
S008,NLP,47,79,88,87,81,9,AI,Beginner
S008,Computer Vision,76,45,91,30,73,27,AI,Intermediate
S008,Data Engineering,95,98,84,74,76,25,Engineering,Advanced
S008,Big Data,72,92,61,25,45,6,Engineering,Intermediate
S008,Spark,94,87,43,98,50,24,Engineering,Advanced
S008,Leadership,94,48,94,7,90,8,Soft Skills,Advanced
S008,Project Management,76,75,63,99,45,2,Soft Skills,Intermediate
S008,Cybersecurity,59,67,50,8,54,6,Security,Beginner
S009,Python,93,88,69,55,96,2,Programming,Advanced
S009,SQL,54,50,47,30,90,13,Programming,Beginner
S009,Excel,83,44,45,30,93,4,Analytics,Advanced
S009,Statistics,58,59,72,24,88,12,Analytics,Beginner
S009,Machine Learning,86,40,65,18,77,5,AI,Advanced
S009,Deep Learning,50,75,52,7,72,6,AI,Beginner
S009,Data Visualization,89,95,49,9,62,10,Analytics,Advanced
S009,Power BI,83,41,52,44,41,20,Analytics,Advanced
S009,Tableau,40,76,48,21,48,11,Analytics,Beginner
S009,Communication,54,63,77,39,69,17,Soft Skills,Beginner
S009,Problem Solving,44,99,83,54,53,21,Soft Skills,Beginner
S009,Critical Thinking,95,50,48,38,51,3,Soft Skills,Advanced
S009,Cloud Computing,74,40,79,68,61,28,Cloud,Intermediate
S009,AWS,68,47,50,18,99,3,Cloud,Intermediate
S009,Azure,60,76,44,87,98,14,Cloud,Intermediate
S009,Docker,65,43,64,46,64,18,Cloud,Intermediate
S009,Git,79,47,78,18,71,19,Programming,Intermediate
S009,NLP,77,72,62,67,54,1,AI,Intermediate
S009,Computer Vision,64,56,72,70,53,21,AI,Intermediate
S009,Data Engineering,79,79,90,43,90,6,Engineering,Intermediate
S009,Big Data,45,42,46,55,47,10,Engineering,Beginner
S009,Spark,91,54,86,33,72,20,Engineering,Advanced
S009,Leadership,69,78,66,40,68,6,Soft Skills,Intermediate
S009,Project Management,96,72,76,31,94,1,Soft Skills,Advanced
S009,Cybersecurity,43,61,41,14,44,27,Security,Beginner
S010,Python,49,72,93,42,52,15,Programming,Beginner
S010,SQL,75,84,63,56,95,15,Programming,Intermediate
S010,Excel,68,47,44,33,86,4,Analytics,Intermediate
S010,Statistics,51,84,41,31,70,19,Analytics,Beginner
S010,Machine Learning,90,75,75,30,82,27,AI,Advanced
S010,Deep Learning,44,59,50,78,79,6,AI,Beginner
S010,Data Visualization,45,47,62,51,65,14,Analytics,Beginner
S010,Power BI,82,51,65,17,79,18,Analytics,Advanced
S010,Tableau,64,72,86,64,82,12,Analytics,Intermediate
S010,Communication,83,75,87,72,44,24,Soft Skills,Advanced
S010,Problem Solving,76,47,81,96,70,26,Soft Skills,Intermediate
S010,Critical Thinking,48,93,90,33,53,8,Soft Skills,Beginner
S010,Cloud Computing,80,61,50,27,40,14,Cloud,Advanced
S010,AWS,76,60,65,40,93,23,Cloud,Intermediate
S010,Azure,96,40,93,59,90,8,Cloud,Advanced
S010,Docker,54,60,86,77,92,9,Cloud,Beginner
S010,Git,49,91,96,30,80,3,Programming,Beginner
S010,NLP,91,64,65,79,77,2,AI,Advanced
S010,Computer Vision,46,57,66,38,66,17,AI,Beginner
S010,Data Engineering,82,98,83,55,93,24,Engineering,Advanced
S010,Big Data,64,46,91,74,92,24,Engineering,Intermediate
S010,Spark,72,88,68,67,82,22,Engineering,Intermediate
S010,Leadership,65,67,89,89,88,7,Soft Skills,Intermediate
S010,Project Management,56,59,80,53,59,22,Soft Skills,Beginner
S010,Cybersecurity,61,67,79,53,46,1,Security,Intermediate
S011,Python,71,52,69,91,90,27,Programming,Intermediate
S011,SQL,95,58,71,34,68,17,Programming,Advanced
S011,Excel,84,68,69,20,79,19,Analytics,Advanced
S011,Statistics,57,40,53,51,89,2,Analytics,Beginner
S011,Machine Learning,93,67,88,98,77,19,AI,Advanced
S011,Deep Learning,43,40,47,33,94,7,AI,Beginner
S011,Data Visualization,42,71,49,78,58,14,Analytics,Beginner
S011,Power BI,73,99,72,91,94,28,Analytics,Intermediate
S011,Tableau,71,89,46,97,47,1,Analytics,Intermediate
S011,Communication,96,94,42,92,62,27,Soft Skills,Advanced
S011,Problem Solving,47,93,96,71,90,1,Soft Skills,Beginner
S011,Critical Thinking,67,86,47,38,74,24,Soft Skills,Intermediate
S011,Cloud Computing,53,71,95,50,82,16,Cloud,Beginner
S011,AWS,43,91,76,58,60,14,Cloud,Beginner
S011,Azure,70,94,87,86,46,10,Cloud,Intermediate
S011,Docker,46,72,62,89,58,16,Cloud,Beginner
S011,Git,58,75,68,64,57,2,Programming,Beginner
S011,NLP,40,86,44,24,50,10,AI,Beginner
S011,Computer Vision,41,42,62,16,59,5,AI,Beginner
S011,Data Engineering,76,77,69,13,73,21,Engineering,Intermediate
S011,Big Data,83,74,91,90,83,24,Engineering,Advanced
S011,Spark,56,49,69,63,85,23,Engineering,Beginner
S011,Leadership,71,56,89,85,53,9,Soft Skills,Intermediate
S011,Project Management,79,41,84,29,78,9,Soft Skills,Intermediate
S011,Cybersecurity,93,61,82,8,65,26,Security,Advanced
S012,Python,68,84,73,91,76,11,Programming,Intermediate
S012,SQL,45,57,60,46,75,9,Programming,Beginner
S012,Excel,77,73,56,41,64,6,Analytics,Intermediate
S012,Statistics,97,51,62,90,60,27,Analytics,Advanced
S012,Machine Learning,96,70,45,95,79,2,AI,Advanced
S012,Deep Learning,51,84,96,57,46,10,AI,Beginner
S012,Data Visualization,84,56,65,89,67,26,Analytics,Advanced
S012,Power BI,85,41,99,58,82,1,Analytics,Advanced
S012,Tableau,90,92,75,30,68,21,Analytics,Advanced
S012,Communication,50,79,50,40,88,27,Soft Skills,Beginner
S012,Problem Solving,78,79,74,58,73,23,Soft Skills,Intermediate
S012,Critical Thinking,86,63,93,26,44,24,Soft Skills,Advanced
S012,Cloud Computing,72,97,75,24,58,3,Cloud,Intermediate
S012,AWS,91,82,56,66,98,13,Cloud,Advanced
S012,Azure,82,73,48,30,41,21,Cloud,Advanced
S012,Docker,48,48,79,21,40,25,Cloud,Beginner
S012,Git,82,79,81,29,78,3,Programming,Advanced
S012,NLP,42,89,76,48,90,6,AI,Beginner
S012,Computer Vision,73,51,58,48,98,27,AI,Intermediate
S012,Data Engineering,88,56,49,61,94,17,Engineering,Advanced
S012,Big Data,86,51,55,92,58,8,Engineering,Advanced
S012,Spark,70,60,56,91,76,22,Engineering,Intermediate
S012,Leadership,55,45,47,29,57,25,Soft Skills,Beginner
S012,Project Management,51,54,98,30,80,13,Soft Skills,Beginner
S012,Cybersecurity,65,86,71,14,55,7,Security,Intermediate
S013,Python,56,62,65,89,61,26,Programming,Beginner
S013,SQL,46,53,54,11,48,19,Programming,Beginner
S013,Excel,87,47,89,63,62,29,Analytics,Advanced
S013,Statistics,57,70,69,43,74,18,Analytics,Beginner
S013,Machine Learning,98,81,78,21,53,24,AI,Advanced
S013,Deep Learning,74,83,99,49,73,3,AI,Intermediate
S013,Data Visualization,76,82,79,94,94,23,Analytics,Intermediate
S013,Power BI,83,78,54,8,68,22,Analytics,Advanced
S013,Tableau,64,52,57,37,55,13,Analytics,Intermediate
S013,Communication,81,83,41,59,74,10,Soft Skills,Advanced
S013,Problem Solving,73,69,98,17,52,18,Soft Skills,Intermediate
S013,Critical Thinking,71,71,74,43,85,20,Soft Skills,Intermediate
S013,Cloud Computing,68,88,68,66,92,12,Cloud,Intermediate
S013,AWS,96,55,95,14,69,25,Cloud,Advanced
S013,Azure,78,59,44,69,69,17,Cloud,Intermediate
S013,Docker,42,84,53,34,89,4,Cloud,Beginner
S013,Git,57,76,64,52,40,21,Programming,Beginner
S013,NLP,85,54,48,19,88,25,AI,Advanced
S013,Computer Vision,63,43,51,63,97,5,AI,Intermediate
S013,Data Engineering,76,82,99,74,78,24,Engineering,Intermediate
S013,Big Data,85,63,50,66,52,2,Engineering,Advanced
S013,Spark,64,46,91,8,98,8,Engineering,Intermediate
S013,Leadership,59,68,93,78,82,2,Soft Skills,Beginner
S013,Project Management,96,65,80,7,95,6,Soft Skills,Advanced
S013,Cybersecurity,44,44,93,51,62,17,Security,Beginner
S014,Python,48,74,59,65,98,10,Programming,Beginner
S014,SQL,74,89,57,66,56,24,Programming,Intermediate
S014,Excel,42,71,74,17,95,29,Analytics,Beginner
S014,Statistics,86,64,48,72,53,5,Analytics,Advanced
S014,Machine Learning,73,50,80,60,42,27,AI,Intermediate
S014,Deep Learning,67,68,48,71,64,2,AI,Intermediate
S014,Data Visualization,51,81,48,83,79,25,Analytics,Beginner
S014,Power BI,44,50,98,92,99,15,Analytics,Beginner
S014,Tableau,77,47,98,9,87,26,Analytics,Intermediate
S014,Communication,57,45,76,64,87,13,Soft Skills,Beginner
S014,Problem Solving,67,44,52,85,89,8,Soft Skills,Intermediate
S014,Critical Thinking,84,71,68,62,42,24,Soft Skills,Advanced
S014,Cloud Computing,79,73,79,95,52,13,Cloud,Intermediate
S014,AWS,72,45,63,23,55,8,Cloud,Intermediate
S014,Azure,67,72,98,63,87,9,Cloud,Intermediate
S014,Docker,52,82,84,93,92,10,Cloud,Beginner
S014,Git,75,66,77,64,46,5,Programming,Intermediate
S014,NLP,82,84,97,35,62,10,AI,Advanced
S014,Computer Vision,49,71,82,57,69,7,AI,Beginner
S014,Data Engineering,70,57,75,6,53,13,Engineering,Intermediate
S014,Big Data,68,51,78,70,71,13,Engineering,Intermediate
S014,Spark,85,66,88,21,79,2,Engineering,Advanced
S014,Leadership,99,63,84,39,87,6,Soft Skills,Advanced
S014,Project Management,58,69,46,78,80,2,Soft Skills,Beginner
S014,Cybersecurity,67,99,54,98,76,29,Security,Intermediate
S015,Python,61,43,59,72,66,17,Programming,Intermediate
S015,SQL,51,61,56,14,93,1,Programming,Beginner
S015,Excel,61,65,95,86,89,14,Analytics,Intermediate
S015,Statistics,86,68,51,40,98,3,Analytics,Advanced
S015,Machine Learning,91,51,46,33,50,1,AI,Advanced
S015,Deep Learning,45,86,54,36,90,11,AI,Beginner
S015,Data Visualization,97,62,65,50,73,29,Analytics,Advanced
S015,Power BI,43,56,74,17,80,7,Analytics,Beginner
S015,Tableau,54,94,68,33,50,20,Analytics,Beginner
S015,Communication,71,41,86,82,59,22,Soft Skills,Intermediate
S015,Problem Solving,50,66,42,85,83,24,Soft Skills,Beginner
S015,Critical Thinking,67,68,60,51,55,5,Soft Skills,Intermediate
S015,Cloud Computing,98,59,45,23,96,5,Cloud,Advanced
S015,AWS,42,98,40,62,99,6,Cloud,Beginner
S015,Azure,54,73,74,68,88,25,Cloud,Beginner
S015,Docker,63,51,57,19,83,16,Cloud,Intermediate
S015,Git,66,47,99,50,64,17,Programming,Intermediate
S015,NLP,68,92,47,83,66,14,AI,Intermediate
S015,Computer Vision,89,91,46,7,68,12,AI,Advanced
S015,Data Engineering,92,63,99,7,59,14,Engineering,Advanced
S015,Big Data,54,64,69,82,46,17,Engineering,Beginner
S015,Spark,83,59,75,13,77,16,Engineering,Advanced
S015,Leadership,96,99,61,6,63,8,Soft Skills,Advanced
S015,Project Management,50,52,56,76,60,18,Soft Skills,Beginner
S015,Cybersecurity,69,57,85,99,77,11,Security,Intermediate
S016,Python,84,64,72,45,47,11,Programming,Advanced
S016,SQL,61,90,63,45,56,12,Programming,Intermediate
S016,Excel,96,85,71,83,55,22,Analytics,Advanced
S016,Statistics,61,67,59,37,49,8,Analytics,Intermediate
S016,Machine Learning,71,89,99,6,72,1,AI,Intermediate
S016,Deep Learning,80,52,69,37,52,20,AI,Advanced
S016,Data Visualization,65,61,78,70,77,7,Analytics,Intermediate
S016,Power BI,65,85,97,19,73,10,Analytics,Intermediate
S016,Tableau,94,83,88,79,42,27,Analytics,Advanced
S016,Communication,45,48,45,77,78,9,Soft Skills,Beginner
S016,Problem Solving,89,51,47,76,89,28,Soft Skills,Advanced
S016,Critical Thinking,59,86,98,11,50,20,Soft Skills,Beginner
S016,Cloud Computing,55,43,45,62,61,26,Cloud,Beginner
S016,AWS,42,80,99,18,50,18,Cloud,Beginner
S016,Azure,93,51,62,16,52,25,Cloud,Advanced
S016,Docker,84,90,97,23,94,14,Cloud,Advanced
S016,Git,75,84,47,97,94,21,Programming,Intermediate
S016,NLP,94,71,90,48,57,6,AI,Advanced
S016,Computer Vision,57,58,61,41,71,24,AI,Beginner
S016,Data Engineering,80,98,42,32,49,19,Engineering,Advanced
S016,Big Data,74,68,93,67,54,1,Engineering,Intermediate
S016,Spark,46,51,88,98,60,26,Engineering,Beginner
S016,Leadership,63,59,76,8,67,12,Soft Skills,Intermediate
S016,Project Management,59,99,63,54,88,19,Soft Skills,Beginner
S016,Cybersecurity,71,80,75,70,54,2,Security,Intermediate
S017,Python,75,45,78,46,90,19,Programming,Intermediate
S017,SQL,97,93,51,7,84,18,Programming,Advanced
S017,Excel,79,60,54,30,47,4,Analytics,Intermediate
S017,Statistics,87,69,62,46,83,14,Analytics,Advanced
S017,Machine Learning,53,41,94,41,44,6,AI,Beginner
S017,Deep Learning,84,80,93,64,86,14,AI,Advanced
S017,Data Visualization,95,78,64,88,41,7,Analytics,Advanced
S017,Power BI,45,56,98,93,96,28,Analytics,Beginner
S017,Tableau,41,74,76,9,40,8,Analytics,Beginner
S017,Communication,51,95,75,49,62,15,Soft Skills,Beginner
S017,Problem Solving,70,50,49,71,93,14,Soft Skills,Intermediate
S017,Critical Thinking,55,49,68,14,51,9,Soft Skills,Beginner
S017,Cloud Computing,40,44,59,12,82,12,Cloud,Beginner
S017,AWS,40,96,93,88,67,25,Cloud,Beginner
S017,Azure,82,76,86,80,76,17,Cloud,Advanced
S017,Docker,88,95,83,60,67,15,Cloud,Advanced
S017,Git,54,45,83,65,59,18,Programming,Beginner
S017,NLP,53,41,48,41,59,26,AI,Beginner
S017,Computer Vision,68,40,94,39,45,5,AI,Intermediate
S017,Data Engineering,92,98,44,37,88,19,Engineering,Advanced
S017,Big Data,53,51,81,24,92,18,Engineering,Beginner
S017,Spark,63,98,82,93,89,29,Engineering,Intermediate
S017,Leadership,96,78,70,60,86,11,Soft Skills,Advanced
S017,Project Management,89,62,83,42,59,23,Soft Skills,Advanced
S017,Cybersecurity,84,91,55,54,81,28,Security,Advanced
S018,Python,94,47,89,89,40,23,Programming,Advanced
S018,SQL,47,68,71,9,86,22,Programming,Beginner
S018,Excel,86,73,40,59,94,26,Analytics,Advanced
S018,Statistics,82,49,69,86,56,26,Analytics,Advanced
S018,Machine Learning,47,86,79,80,66,8,AI,Beginner
S018,Deep Learning,64,85,43,37,40,19,AI,Intermediate
S018,Data Visualization,70,55,53,57,87,5,Analytics,Intermediate
S018,Power BI,80,65,67,70,89,6,Analytics,Advanced
S018,Tableau,48,72,80,93,87,13,Analytics,Beginner
S018,Communication,48,92,52,35,80,11,Soft Skills,Beginner
S018,Problem Solving,43,73,77,8,77,19,Soft Skills,Beginner
S018,Critical Thinking,45,73,57,17,80,23,Soft Skills,Beginner
S018,Cloud Computing,58,84,50,5,63,22,Cloud,Beginner
S018,AWS,46,64,60,19,40,12,Cloud,Beginner
S018,Azure,97,46,54,25,58,28,Cloud,Advanced
S018,Docker,68,64,72,53,71,17,Cloud,Intermediate
S018,Git,74,83,77,94,50,3,Programming,Intermediate
S018,NLP,47,85,53,78,41,14,AI,Beginner
S018,Computer Vision,48,42,60,30,47,16,AI,Beginner
S018,Data Engineering,41,45,67,97,65,25,Engineering,Beginner
S018,Big Data,51,44,73,52,76,15,Engineering,Beginner
S018,Spark,83,75,54,47,87,23,Engineering,Advanced
S018,Leadership,45,85,89,47,84,21,Soft Skills,Beginner
S018,Project Management,62,82,94,84,86,21,Soft Skills,Intermediate
S018,Cybersecurity,99,54,64,40,50,19,Security,Advanced
S019,Python,54,43,60,17,61,19,Programming,Beginner
S019,SQL,73,53,43,56,85,27,Programming,Intermediate
